,indice,NAME OF ISSUER,TITLE OF CLASS,CUSIP,(x$1000),PRN AMT,PRN,date_reported,cik_company
2,5272CUSIP202111,NAME OF ISSUER,TITLE OF CLASS,CUSIP,(x$1000),PRN AMT,PRN,202111,5272
3,527268243Q106202111,1 800 FLOWERS.COM INC CL A,CL A,68243Q106,445,14589,SH,202111,5272
4,527288025U109202111,10X GENOMICS INC CLASS A,CL A,88025U109,239,1643,SH,202111,5272
5,527268269G107202111,1LIFE HEALTHCARE INC,COM,68269G107,1292,63821,SH,202111,5272
6,5272336901103202111,1ST SOURCE CORP,COM,336901103,437,9259,SH,202111,5272
7,5272320551104202111,1STDIBS.COM INC,COM,320551104,46,3687,SH,202111,5272
8,527290137F103202111,22ND CENTURY GROUP INC,COM,90137F103,261,88128,SH,202111,5272
9,527290214J101202111,2U INC,COM,90214J101,1318,39267,SH,202111,5272
10,527288557W101202111,360 DIGITECH INC,ADR,88557W101,21,1035,SH,202111,5272
11,527288554D205202111,3D SYSTEMS CORP,COM,88554D205,2109,76509,SH,202111,5272
12,527288579Y101202111,3M CO,COM,88579Y101,29181,166351,SH,202111,5272
13,527235104E100202111,4D MOLECULAR THERAPEUTICS IN,COM,35104E100,309,11468,SH,202111,5272
14,5272316827104202111,51JOB INC ADR,ADR,316827104,20,294,SH,202111,5272
15,5272282559103202111,89BIO INC,COM,282559103,105,5335,SH,202111,5272
16,5272282914100202111,8X8 INC,COM,282914100,1631,69723,SH,202111,5272
17,5272654405109202111,9 METERS BIOPHARMA INC,COM,654405109,159,122275,SH,202111,5272
18,527265443P102202111,908 DEVICES INC,COM,65443P102,230,7076,SH,202111,5272
19,527200181T107202111,A MARK PRECIOUS METALS INC,COM,00181T107,287,4779,SH,202111,5272
20,5272002121101202111,A10 NETWORKS INC,COM,002121101,443,32893,SH,202111,5272
21,5272000360206202111,AAON INC,COM,000360206,1717,26278,SH,202111,5272
22,5272000361105202111,AAR CORP,COM,000361105,690,21288,SH,202111,5272
23,527200258W108202111,AARON S CO INC/THE,COM,00258W108,561,20374,SH,202111,5272
24,5272002824100202111,ABBOTT LABORATORIES,COM,002824100,60958,516026,SH,202111,5272
25,527200287Y109202111,ABBVIE INC,COM,00287Y109,55661,515999,SH,202111,5272
26,5272002896207202111,ABERCROMBIE and FITCH CO CL A,CL A,002896207,1450,38523,SH,202111,5272
27,5272003654100202111,ABIOMED INC,COM,003654100,4871,14964,SH,202111,5272
28,5272000957100202111,ABM INDUSTRIES INC,COM,000957100,1903,42273,SH,202111,5272
29,527200091E109202111,ABSCI CORP,COM,00091E109,88,7595,SH,202111,5272
30,5272003881307202111,ACACIA RESEARCH CORP,COM,003881307,182,26835,SH,202111,5272
31,527200402L107202111,ACADEMY SPORTS and OUTDOORS IN,COM,00402L107,1702,42535,SH,202111,5272
32,527200404A109202111,ACADIA HEALTHCARE CO INC,COM,00404A109,9870,154749,SH,202111,5272
33,5272004225108202111,ACADIA PHARMACEUTICALS INC,COM,004225108,1088,65510,SH,202111,5272
34,5272004239109202111,ACADIA REALTY TRUST,COM SH BEN INT,004239109,1115,54638,SH,202111,5272
35,527200436Q106202111,ACCEL ENTERTAINMENT INC,CL A1,00436Q106,374,30829,SH,202111,5272
36,527200430H102202111,ACCELERATE DIAGNOSTICS INC,COM,00430H102,105,18056,SH,202111,5272
37,527200434H108202111,ACCELERON PHARMA INC,COM,00434H108,178,1036,SH,202111,5272
38,5272G1151C101202111,ACCENTURE PLC CL A,SHS CL A,G1151C101,59015,184467,SH,202111,5272
39,527200081T108202111,ACCO BRANDS CORP,COM,00081T108,438,51015,SH,202111,5272
40,527200437E102202111,ACCOLADE INC,COM,00437E102,1162,27554,SH,202111,5272
41,5272004397105202111,ACCURAY INC,COM,004397105,200,50632,SH,202111,5272
42,5272004498101202111,ACI WORLDWIDE INC,COM,004498101,8162,265614,SH,202111,5272
43,527200461U105202111,ACLARIS THERAPEUTICS INC,COM,00461U105,503,27917,SH,202111,5272
